passage	phrase_node	phrase_text	phrase_gloss	phrase_function	lexeme	occ_text	occ_node
Genesis 31:53	615846	אֱלֹהֵ֨י אַבְרָהָ֜ם וֵֽאלֹהֵ֤י נָחֹור֙ אֱלֹהֵ֖י אֲבִיהֶ֑ם 	god(s) Abraham and god(s) Nahor god(s) father	Subj	>LHJM/	אלֹהֵ֤י 	17394
Genesis 31:53	615846	אֱלֹהֵ֨י אַבְרָהָ֜ם וֵֽאלֹהֵ֤י נָחֹור֙ אֱלֹהֵ֖י אֲבִיהֶ֑ם 	god(s) Abraham and god(s) Nahor god(s) father	Subj	>LHJM/	אֱלֹהֵ֖י 	17398
Genesis 32:2	615892	מַלְאֲכֵ֥י אֱלֹהִֽים׃ 	messenger god(s)	Subj	>LHJM/	אֱלֹהִֽים׃ 	17461
Genesis 32:3	615898	מַחֲנֵ֥ה אֱלֹהִ֖ים 	camp god(s)	PreC	>LHJM/	אֱלֹהִ֖ים 	17469
Genesis 32:10	615978	אֱלֹהֵי֙ אָבִ֣י אַבְרָהָ֔ם וֵאלֹהֵ֖י אָבִ֣י יִצְחָ֑ק יְהוָ֞ה 	god(s) father Abraham and god(s) father Isaac YHWH	Voct	>LHJM/	אֱלֹהֵי֙ 	17610
Genesis 32:10	615978	אֱלֹהֵי֙ אָבִ֣י אַבְרָהָ֔ם וֵאלֹהֵ֖י אָבִ֣י יִצְחָ֑ק יְהוָ֞ה 	god(s) father Abraham and god(s) father Isaac YHWH	Voct	>LHJM/	אלֹהֵ֖י 	17614
Genesis 32:29	616199	עִם־אֱלֹהִ֛ים וְעִם־אֲנָשִׁ֖ים 	with god(s) and with man	Cmpl	>LHJM/	אֱלֹהִ֛ים 	17988
Genesis 32:31	616226	אֱלֹהִים֙ 	god(s)	Objc	>LHJM/	אֱלֹהִים֙ 	18022
Genesis 33:5	616319	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	18179
Genesis 33:10	616379	פְּנֵ֥י אֱלֹהִ֖ים 	face god(s)	Objc	>LHJM/	אֱלֹהִ֖ים 	18261
Genesis 33:11	616390	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	18273
Genesis 33:20	616506	אֵ֖ל אֱלֹהֵ֥י יִשְׂרָאֵֽל׃ ס  	god god(s) Israel	Objc	>LHJM/	אֱלֹהֵ֥י 	18447
Genesis 35:1	616873	אֱלֹהִים֙ 	god(s)	Subj	>LHJM/	אֱלֹהִים֙ 	19045
Genesis 35:2	616898	אֶת־אֱלֹהֵ֤י הַנֵּכָר֙ 	<object marker> god(s) the foreigner	Objc	>LHJM/	אֱלֹהֵ֤י 	19082
Genesis 35:4	616929	אֵ֣ת כָּל־אֱלֹהֵ֤י הַנֵּכָר֙ וְאֶת־הַנְּזָמִ֖ים 	<object marker> whole god(s) the foreigner and <object marker> the nose-ring	Objc	>LHJM/	אֱלֹהֵ֤י 	19125
Genesis 35:5	616945	חִתַּ֣ת אֱלֹהִ֗ים 	terror god(s)	Subj	>LHJM/	אֱלֹהִ֗ים 	19153
Genesis 35:7	616975	הָֽאֱלֹהִ֔ים 	the god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	19198
Genesis 35:9	616990	אֱלֹהִ֤ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֤ים 	19225
Genesis 35:10	617001	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	19240
Genesis 35:11	617020	אֱלֹהִ֜ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֜ים 	19261
Genesis 35:13	617047	אֱלֹהִ֑ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֑ים 	19304
Genesis 35:15	617077	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	19342
Genesis 39:9	618552	לֵֽאלֹהִֽים׃ 	to god(s)	Cmpl	>LHJM/	אלֹהִֽים׃ 	21629
Genesis 40:8	618823	לֵֽאלֹהִים֙ 	to god(s)	PreC	>LHJM/	אלֹהִים֙ 	22055
Genesis 41:16	619175	אֱלֹהִ֕ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֕ים 	22646
Genesis 41:25	619256	הָאֱלֹהִ֛ים 	the god(s)	Subj	>LHJM/	אֱלֹהִ֛ים 	22804
